uniqueid,Start time,Completion time,My sleep is affected by my study commitments,I achieve good quality sleep,My electronic device usage negatively affects my sleep,Tiredness interferes with my concentration,"My sleep is disturbed by external factors e.g. loud cars, housemates, lights, children...",I often achieve eight hours of sleep,I regularly stay up past 11pm
e1493f47f7,2020-11-26T11:16:34Z,2020-11-26T11:18:01Z,Agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Disagree
50a3afb7c1,2020-11-27T09:14:16Z,2020-11-27T09:15:06Z,Somewhat agree,Agree,Agree,Strongly agree,Agree,Somewhat agree,Somewhat agree
6508b073f4,2020-11-26T11:15:10Z,2020-11-26T11:15:55Z,Disagree,Agree,Disagree,Somewhat disagree,Strongly disagree,Agree,Somewhat agree
4c318c100e,2020-11-26T14:59:43Z,2020-11-26T15:00:36Z,Strongly agree,Strongly disagree,Neither agree nor disagree,Strongly agree,Disagree,Strongly disagree,Somewhat agree
762f30ad94,2020-11-27T15:24:35Z,2020-11-27T15:25:34Z,Strongly agree,Disagree,Agree,Agree,Somewhat agree,Disagree,Strongly agree
173cc17873,2020-11-27T14:15:35Z,2020-11-27T14:16:11Z,Agree,Disagree,Agree,Strongly agree,Agree,Disagree,Strongly agree
d12d79c755,2020-11-29T22:26:19Z,2020-11-29T22:27:09Z,Strongly agree,Disagree,Somewhat disagree,Somewhat agree,Agree,Strongly disagree,Strongly agree
e828daa59d,2020-11-27T14:10:38Z,2020-11-27T14:11:39Z,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree
a02e551405,2020-11-27T11:12:55Z,2020-11-27T11:13:47Z,Somewhat agree,Agree,Somewhat agree,Neither agree nor disagree,Disagree,Agree,Agree
b2af77796b,2020-11-26T11:11:05Z,2020-11-26T11:11:40Z,Somewhat disagree,Agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Agree,Agree
506dd240a9,2020-11-27T11:15:11Z,2020-11-27T11:15:52Z,Disagree,Somewhat disagree,Disagree,Agree,Strongly disagree,Disagree,Somewhat agree
61e59ca80b,2020-11-27T09:33:50Z,2020-11-27T09:35:46Z,Somewhat agree,Agree,Somewhat agree,Agree,Disagree,Strongly agree,Strongly agree
e57529cd7c,2020-11-27T11:11:38Z,2020-11-27T11:12:25Z,Agree,Somewhat agree,Somewhat agree,Agree,Strongly agree,Agree,Strongly agree
